"fips","StateName","CountyName","county_state","PercentBlack/AfricanAmPop2010","PercentHispanic/LatinoPop2010","PercentAsianPopulation2010","MedianHouseholdIncome2017","LandAreainSquareMiles2010","PopulationEstimate2018","FracMale2017"
"01001","Alabama","Autauga","Autauga, AL",17.7,2.4,0.9,58343,594.44,55601,0.486577543960796
"01003","Alabama","Baldwin","Baldwin, AL",9.4,4.4,0.7,56607,1589.78,218022,0.485472280226499
"01005","Alabama","Barbour","Barbour, AL",46.9,5.1,0.4,32490,884.88,24881,0.527700831024931
"01007","Alabama","Bibb","Bibb, AL",22,1.8,0.1,45795,622.58,22400,0.535468501852832
"01009","Alabama","Blount","Blount, AL",1.3,8.1,0.2,48253,644.78,57840,0.493113612466171
"01011","Alabama","Bullock","Bullock, AL",70.2,7.1,0.2,29113,622.8,10138,0.544669706082064
"01013","Alabama","Butler","Butler, AL",43.4,0.9,0.8,36842,776.83,19680,0.465674653215637
"01015","Alabama","Calhoun","Calhoun, AL",20.6,3.3,0.7,45937,605.87,114277,0.480693466285475
"01017","Alabama","Chambers","Chambers, AL",38.7,1.6,0.5,36883,596.53,33615,0.478747070862872
"01019","Alabama","Cherokee","Cherokee, AL",4.6,1.2,0.2,44842,553.7,26032,0.496809374637429
"01021","Alabama","Chilton","Chilton, AL",9.7,7.8,0.3,46405,692.85,44153,0.491728504322963
"01023","Alabama","Choctaw","Choctaw, AL",43.4,0.5,0.1,36711,913.5,12841,0.472846658941676
"01025","Alabama","Clarke","Clarke, AL",43.9,1,0.3,36719,1238.46,23920,0.472158784204626
"01027","Alabama","Clay","Clay, AL",14.8,2.9,0.2,39642,603.96,13275,0.489489040173562
"01029","Alabama","Cleburne","Cleburne, AL",3.3,2.1,0.2,45480,560.1,14987,0.495838926174497
"01031","Alabama","Coffee","Coffee, AL",16.7,6.4,1.3,51998,678.97,51909,0.492925164822454
"01033","Alabama","Colbert","Colbert, AL",16.1,2,0.4,46100,592.62,54762,0.479798165137615
"01035","Alabama","Conecuh","Conecuh, AL",46.5,1.2,0.1,30796,850.16,12277,0.48031117170583
"01037","Alabama","Coosa","Coosa, AL",31,2,0.1,42442,650.93,10715,0.501952761763065
"01039","Alabama","Covington","Covington, AL",12.5,1.3,0.4,39093,1030.46,36986,0.482260325676696
"01041","Alabama","Crenshaw","Crenshaw, AL",23.4,1.5,1.4,38419,608.84,13824,0.484247711051835
"01043","Alabama","Cullman","Cullman, AL",1.1,4.3,0.4,45925,734.84,83442,0.494338710651924
"01045","Alabama","Dale","Dale, AL",19.3,5.6,1.1,42572,561.15,48956,0.493032137488319
"01047","Alabama","Dallas","Dallas, AL",69.4,0.7,0.3,31329,978.69,38310,0.461277572357516
"01049","Alabama","DeKalb","DeKalb, AL",1.5,13.6,0.3,39906,777.09,71385,0.49724227487887
"01051","Alabama","Elmore","Elmore, AL",20,2.7,0.7,59652,618.48,81887,0.485032506091066
"01053","Alabama","Escambia","Escambia, AL",31.9,1.9,0.2,37870,945.08,36748,0.512190562661895
"01055","Alabama","Etowah","Etowah, AL",15.1,3.3,0.6,41791,534.99,102501,0.483616369033137
