Name	Label	Concept	Required	Attributes	Limit	Predicate Type	Group
B00001_001E	Estimate!!Total	UNWEIGHTED SAMPLE COUNT OF THE POPULATION	not required	B00001_001EA	0	(not a predicate)	B00001
B00002_001E	Estimate!!Total	UNWEIGHTED SAMPLE HOUSING UNITS	not required	B00002_001EA	0	int	B00002
B01001_001E	Estimate!!Total	SEX BY AGE	not required	"B01001_001EA,B01001_001M,B01001_001MA"	0	int	B01001
B01001_002E	Estimate!!Total!!Male	SEX BY AGE	not required	"B01001_002EA,B01001_002M,B01001_002MA"	0	int	B01001
B01001_003E	Estimate!!Total!!Male!!Under 5 years	SEX BY AGE	not required	"B01001_003EA,B01001_003M,B01001_003MA"	0	int	B01001
B01001_004E	Estimate!!Total!!Male!!5 to 9 years	SEX BY AGE	not required	"B01001_004EA,B01001_004M,B01001_004MA"	0	int	B01001
B01001_005E	Estimate!!Total!!Male!!10 to 14 years	SEX BY AGE	not required	"B01001_005EA,B01001_005M,B01001_005MA"	0	int	B01001
B01001_006E	Estimate!!Total!!Male!!15 to 17 years	SEX BY AGE	not required	"B01001_006EA,B01001_006M,B01001_006MA"	0	int	B01001
B01001_007E	Estimate!!Total!!Male!!18 and 19 years	SEX BY AGE	not required	"B01001_007EA,B01001_007M,B01001_007MA"	0	int	B01001
B01001_008E	Estimate!!Total!!Male!!20 years	SEX BY AGE	not required	"B01001_008EA,B01001_008M,B01001_008MA"	0	int	B01001
B01001_009E	Estimate!!Total!!Male!!21 years	SEX BY AGE	not required	"B01001_009EA,B01001_009M,B01001_009MA"	0	int	B01001
B01001_010E	Estimate!!Total!!Male!!22 to 24 years	SEX BY AGE	not required	"B01001_010EA,B01001_010M,B01001_010MA"	0	int	B01001
B01001_011E	Estimate!!Total!!Male!!25 to 29 years	SEX BY AGE	not required	"B01001_011EA,B01001_011M,B01001_011MA"	0	int	B01001
B01001_012E	Estimate!!Total!!Male!!30 to 34 years	SEX BY AGE	not required	"B01001_012EA,B01001_012M,B01001_012MA"	0	int	B01001
B01001_013E	Estimate!!Total!!Male!!35 to 39 years	SEX BY AGE	not required	"B01001_013EA,B01001_013M,B01001_013MA"	0	int	B01001
B01001_014E	Estimate!!Total!!Male!!40 to 44 years	SEX BY AGE	not required	"B01001_014EA,B01001_014M,B01001_014MA"	0	int	B01001
B01001_015E	Estimate!!Total!!Male!!45 to 49 years	SEX BY AGE	not required	"B01001_015EA,B01001_015M,B01001_015MA"	0	int	B01001
B01001_016E	Estimate!!Total!!Male!!50 to 54 years	SEX BY AGE	not required	"B01001_016EA,B01001_016M,B01001_016MA"	0	int	B01001
B01001_017E	Estimate!!Total!!Male!!55 to 59 years	SEX BY AGE	not required	"B01001_017EA,B01001_017M,B01001_017MA"	0	int	B01001
B01001_018E	Estimate!!Total!!Male!!60 and 61 years	SEX BY AGE	not required	"B01001_018EA,B01001_018M,B01001_018MA"	0	int	B01001
B01001_019E	Estimate!!Total!!Male!!62 to 64 years	SEX BY AGE	not required	"B01001_019EA,B01001_019M,B01001_019MA"	0	int	B01001
B01001_020E	Estimate!!Total!!Male!!65 and 66 years	SEX BY AGE	not required	"B01001_020EA,B01001_020M,B01001_020MA"	0	int	B01001
