zipcode,y-2016,y-2015,y-2014,y-2013,y-2012,y-2011,y-2010,aggregate
00601,17800,17982,18088,18450,18544,18533,18570,127967
00602,39716,40260,40859,41302,41640,41930,41520,287227
00603,51565,52408,53162,53683,54540,54475,54689,374522
00606,6320,6331,6415,6591,6593,6386,6615,45251
00610,27976,28328,28805,28963,29141,29111,29016,201340
00612,63884,64816,66251,68055,69017,70541,67010,469574
00616,10321,10707,10466,10183,10750,10617,11017,74061
00617,24648,24793,24917,24879,24733,24458,24597,173025
00622,7385,7425,6589,6165,5923,5419,7853,46759
00623,42711,42955,44117,44704,44943,45314,43061,307805
00624,23945,24628,24902,25340,26016,26439,26241,177511
00627,33481,33949,34438,34806,35085,35260,35159,242178
00631,1689,1664,1847,1747,1800,1836,1852,12435
00637,24013,24398,24799,24996,25312,25511,25287,174316
00638,17795,18084,18365,18742,18997,19166,18941,130090
00641,28925,29516,30183,30401,30771,30987,31191,211974
00646,38292,38396,38305,38303,38179,37942,38199,267616
00647,5711,5740,5245,5640,5869,5605,6172,39982
00650,14569,14738,14679,14969,15120,15359,14998,104432
00652,3893,3800,3831,3461,3244,3378,4715,26322
00653,12125,12514,13427,13461,13502,14048,13307,92384
00656,19996,20414,20839,21172,21438,21684,21481,147024
00659,41327,41578,41830,41932,41945,41843,41953,292408
00660,16678,16845,17023,17151,17217,17239,17250,119403
00662,41986,42499,43101,43535,43598,43600,43282,301601
00664,15693,15974,16298,16508,16665,16907,16784,114829
00667,24492,24968,25510,25797,26102,26300,25968,179137
00669,27063,27703,28442,28984,29569,30210,29744,201715
00670,9087,9333,9478,9689,9814,9867,9807,67075
00674,41545,42358,43240,43848,44365,44838,44457,304651
00676,38488,38999,39513,39916,40145,40310,40316,277687
00677,14755,14855,15012,15108,15197,15201,15272,105400
00678,26490,26815,27045,27229,27419,27733,27819,190550
00680,50628,52431,54824,56003,57220,57649,58140,386895
00682,32433,32431,31908,32509,32899,33510,32615,228305
00683,32058,32569,33050,33442,33581,34123,33772,232595
00685,40102,40800,41403,41947,42552,42753,42831,292388
00687,32087,32294,32484,32609,32617,32508,32610,227209
00688,12797,12870,13251,13340,13036,12311,13543,91148
00690,5328,5565,5906,6299,6174,6909,6255,42436
00692,36700,36777,37329,37618,37615,37691,37511,261241
00693,57428,58615,59513,60211,60873,61208,61038,418886
00694,66,77,134,157,152,199,328,1113
00698,38502,39395,40276,41179,41788,42394,41782,285316
00703,27797,28165,28739,29153,29175,29189,28605,200823
00704,8390,8007,8100,7867,7950,7879,8577,56770
00705,24387,24717,25090,25373,25575,25665,25598,176405
00707,11506,11701,11904,12070,12201,12304,12225,83911
00714,18640,18988,19229,19443,19542,19601,19566,135009
00715,3692,3586,3714,4315,4270,4582,3656,27815
00716,29351,30876,31362,32180,32840,33314,33779,223702
00717,17958,17704,18176,17972,18615,18821,18457,127703
00718,26460,26547,26786,26767,26604,26429,26606,186199
00719,30094,30588,30772,30793,30992,30998,30990,215227
